"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"adhayes2","CSC226-001-STADDON-S16","Ensemble_Delay",6,0.411351309055296,-1.42470132561633,1.18295144757485,-2.43534487310585,1.32211244754198,-1.6452377828658,-1.93045494520264,0.0903484805280973
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.9423840342782,-0.87082987739175,-2.00936210326244,-1.12920079404503,-0.16487538089441,-1.24284941607459,0.639697888268996,2.40696993962508
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.24087383842092,-1.85963538059542,-1.27596138085151,-1.27051790449088,0.239620295649574,-0.826466940275466,0.767151331264494,2.00170783912192
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.62538619083511,-2.23958559741493,-0.780722894628724,-2.1178593606931,0.115501896177644,-0.555796431281896,0.806556299844239,1.78266844734865
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",4,-2.98635944259524,-2.29105914367516,-0.495068212383527,-2.38573081926921,0.134431771737204,-0.318503646443146,0.951504706117824,1.60463869029652
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",5,-0.0728587507613783,-2.8092700894233,-0.37101423253429,-1.57614166174405,0.677117948734396,-0.268129876331827,1.75124862310812,1.16202737483143
"kabartus","CSC226-001-STADDON-S16","Ensemble_Delay",6,0.63423945535912,-2.8402932021269,-0.376281890835956,-1.9018574455518,0.436168858278067,-0.381340680388258,1.80774633232831,1.04758968431525
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",1,-4.5864113906067,4.45354433489517,2.06710146064306,3.89981501369483,2.12992073722389,-0.993642681799777,-1.67153572119915,-0.390893471472934
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",2,-4.14484041229632,3.5979179874973,2.1640959864345,2.64165796282462,1.43729106851961,-0.32721840676568,-1.33606472222069,-0.391874436150393
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",3,-3.22453527617419,1.90047811005277,0.736674773886208,0.418952426490389,0.878166127916575,0.7817363800084,-0.853368763468864,-0.31455238756164
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",4,-0.754483217282076,0.812295999433001,0.732461348935222,0.861926733242333,1.10437918602228,1.26287233627983,-0.899472121438748,-0.35411367224971
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",5,0.971534169043846,0.352059953943089,0.633791158459266,0.60609048457251,1.1520111531524,1.4703460146747,-0.874174186621599,-0.414889428274638
"kjeanne","CSC226-001-STADDON-S16","Ensemble_Delay",6,3.4306971439901,0.171316493978197,0.73543135024769,0.446285060848963,1.19544514743631,1.62880573212881,-0.878100107490691,-0.378625963883342
