"student","course","condition","level","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"nvakil","CSC226-002-BARNES-F15","Cond 4",1,-3.9244417358769,-0.763425118566438,-2.90422382825426,0.692612259645206,-0.849865268883171,0.177549326734135,-0.699518065885824
"nvakil","CSC226-002-BARNES-F15","Cond 4",2,-0.221014865318326,1.20196385484276,-1.04942314516371,0.353509199150909,-1.04645173217331,-0.773760701685783,-0.857942855754884
"nvakil","CSC226-002-BARNES-F15","Cond 4",3,1.56641121227487,1.456147570461,-0.902553202032061,-0.222052754330917,-0.759441735604849,-1.05086941208512,-0.417710224730741
"nvakil","CSC226-002-BARNES-F15","Cond 4",4,1.92096197410538,1.48289090147971,-0.672142067962338,-0.597637179670964,-0.443535307515285,-1.12352674404347,-0.115688174390983
"nvakil","CSC226-002-BARNES-F15","Cond 4",5,2.47889619447115,1.37824014733379,-0.460860479126547,-1.02818382220241,-0.190375016860416,-1.22621656600315,0.136240461984818
"nvakil","CSC226-002-BARNES-F15","Cond 4",6,3.47998536201671,1.41633642714368,-0.331602328087845,-1.45925717655017,-0.0595062422737626,-1.36523859710981,0.33894863241503
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",1,-0.730254638229815,-0.0630695933028395,0.557072793418266,2.0373037119075,0.811365695539565,2.48932671924278,1.19384024578466
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",2,-0.292445011015459,0.377056307162252,1.55984445193545,1.57449193131783,0.912622329397545,2.13018643520257,0.790099990047164
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",3,1.74174119053894,0.26356532841501,1.44829653891888,1.64186675323255,1.95940592762098,1.90118001063765,1.52824291324177
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",4,2.23230512073755,0.28359702408584,1.43097485839891,1.24646623275532,2.15825001267314,1.78871499987035,1.63551275050619
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",5,3.02529908509009,0.314207753306577,1.42369267446381,0.9312540792116,2.43266184912641,1.72017083614747,1.63752103644751
"gbedwar2","CSC226-001-BITZER-F15","Cond 4",6,4.69112048432707,0.646724893685573,1.1025355532604,0.182231535461638,2.23642266916255,1.51577189510093,1.71413552210953
"tlreger","CSC226-001-BITZER-F15","Cond 4",1,-3.19062859970062,1.29837732107937,-1.45838283103886,1.96713584437427,-0.166893786778107,0.67416888815783,0.0416542796145185
"tlreger","CSC226-001-BITZER-F15","Cond 4",2,-2.90105798899615,1.35701014772727,-0.87766487428541,1.363491273324,0.189970225522795,0.394859037220233,-0.585448541398574
"tlreger","CSC226-001-BITZER-F15","Cond 4",3,-2.61955071505989,1.20803620819151,-0.74245941945535,0.521040425061689,0.463855230656725,0.183233241628085,-0.540923945827562
"tlreger","CSC226-001-BITZER-F15","Cond 4",4,-0.731991950012336,1.38399092406539,-1.00369702324124,0.35917154991937,0.777193171871704,-0.0407127572467285,-0.631875137350104
"tlreger","CSC226-001-BITZER-F15","Cond 4",5,1.82082809899259,1.26960351425862,-1.72805196401591,-0.484069030048417,0.860582122116255,-0.0451321863103759,-0.479207750585488
"tlreger","CSC226-001-BITZER-F15","Cond 4",6,2.23281854913765,1.16156287397778,-1.59926047634583,-0.832883766929213,1.19802145414341,0.283440162977246,-0.391765582772604
"rncreswe","CSC226-002-BARNES-F15","Cond 4",1,-4.03987088489202,-4.99409242578277,-2.88021263244295,0.68730216605478,-1.90555582476825,-0.489496781307102,1.34823900988342
